acanobte   F	  93280	     19	 1319.8	  22935	-3.7287	  1.4622e-01  4.7490e+01  1.5603e+01  9.0099e-01 -1.6563e+02  5.5002e+02  1.5812e+00  4.1073e-01 -1.1413e+03  3.8602e+03  2.6145e+00  6.6484e-05  1.5968e+06  1.5969e+06
acanplan   F	 166754	     29	  676.9	  55940	-3.5373	  1.2304e-01 -2.2477e+03  2.7111e+03  1.6696e+01 -2.9168e+01  5.3350e+02  1.1098e+00  2.9033e-05  2.7165e+06  2.7166e+06
acanpoly   F	 225846	     30	  552.1	  41164	-3.4480	  2.4265e-01  9.2263e+00  8.1535e+01  5.4658e+00  5.1204e+01  1.3028e+02  1.9271e+00  1.4873e-01 -2.2425e+02  1.1180e+03  1.3286e+00  2.6560e-05  3.5924e+06  3.5926e+06
acanvite   F	  80276	     23	  227.0	   2778	-2.8016	  3.7109e-01  4.2412e+01  7.5119e+01  1.2058e+00 -2.8511e+02  5.0609e+02  4.5711e+00  8.5209e-05  1.0356e+06  1.0357e+06
acaringo   F	  17758	     23	   67.3	    470	-1.7924	  8.4449e-01 -1.6059e+02  2.2380e+02  2.9989e+01 -1.2586e+01  8.4876e+01  1.9686e+00  4.0251e-04  1.4727e+05  1.4733e+05
acartons   F	  26477	     16	  371.0	   4198	-3.0417	  1.4674e-02 -2.7141e+02  3.5041e+02  3.0000e+01 -1.1775e+03  1.3740e+03  1.1781e+01  4.8253e-01  1.2266e+02  3.1095e+02  1.7899e+00  1.3736e-04  3.7133e+05  3.7142e+05
acaumorr   F	  16960	     17	   80.4	    722	-2.0095	  7.8247e-01 -3.9502e+01  1.1371e+02  1.2190e+01 -8.4083e+01  1.9401e+02  2.6399e+00  3.5028e-04  1.5690e+05  1.5695e+05
accigent   F	  68983	     16	  874.4	  45894	-3.6471	  1.2407e-01  5.9747e+01  3.9740e+01  1.3131e+00 -1.5359e+02  8.9501e+02  1.3108e+00  4.0042e-05  1.1584e+06  1.1585e+06
acepmacr   F	  52262	     23	   56.3	    834	-1.9633	  6.0649e-01  3.1477e+01  1.8792e+01  4.1883e+00 -2.8284e+01  1.0346e+02  2.6963e+00  3.7597e-01  9.5959e+01  3.0178e+02  1.5886e+00  2.4171e-04  4.7252e+05  4.7262e+05
acernegu   F	  68777	     16	  193.0	   5111	-2.9056	  3.3911e-01 -3.0659e+02  3.9651e+02  2.9977e+01 -1.1557e+02  2.5429e+02  6.1771e+00  1.8161e-01 -2.1681e+02  6.5569e+02  2.1754e+00  8.0854e-05  9.2039e+05  9.2049e+05
acetacet   F	     62	     21	   93.0	  13385	-2.7014	  1.0000e+00  9.4572e+00  5.5009e+01  9.6399e-01  1.7292e-02  7.7551e+02  7.8189e+02
achedome   F	   9257	     16	  153.0	   5520	-2.8285	  5.2119e-01  5.7736e+01  2.6421e+01  1.5790e+00 -2.2957e+02  5.8193e+02  1.9996e+00  2.8721e-04  1.2067e+05  1.2072e+05
achicole   F	  30380	     16	   67.2	  10801	-2.3718	  6.5820e-01  1.5233e+01  4.2758e+01  5.9165e+00 -2.0843e+01  2.4028e+02  1.1077e+00  2.3427e-04  3.3137e+05  3.3143e+05
achrgris   F	  91622	     29	  665.7	  42995	-3.5635	  5.0384e-02  1.7785e+01  6.4001e+01  6.2976e+00 -6.1610e+01  6.1064e+02  1.2322e+00  5.2206e-05  1.5079e+06  1.5079e+06
acidacid   F	  28759	     23	   85.7	    942	-2.2615	  4.0110e-02 -2.9257e+02  3.2999e+02  2.9323e+01  3.2066e+01  4.4079e+01  1.7360e+00  2.8203e-04  2.9958e+05  2.9963e+05
acidrich   F	  17074	     23	   62.0	    601	-1.9381	  7.1499e-01  6.6105e+00  4.9353e+01  7.7048e+00 -3.5828e+01  1.2499e+02  2.4776e+00  3.2349e-04  1.5244e+05  1.5249e+05
acinjuba   F	 158500	     30	 1528.2	 140434	-3.9517	  9.3339e-02  6.2179e+01  3.7110e+01  1.3276e+00 -2.9921e+02  5.7449e+02  3.7900e+00  1.0415e-01 -3.2134e+02  1.7843e+03  1.1620e+00  1.7316e-05  2.8910e+06  2.8911e+06
